"Time","manager"
2025-04-14 14:27:40,14.5 MiB
2025-04-14 14:27:50,14.5 MiB
2025-04-14 14:28:00,14.5 MiB
2025-04-14 14:28:10,14.2 MiB
2025-04-14 14:28:20,14.6 MiB
2025-04-14 14:28:30,14.6 MiB
2025-04-14 14:28:40,14.6 MiB
2025-04-14 14:28:50,14.6 MiB
2025-04-14 14:29:00,14.6 MiB
2025-04-14 14:29:10,14.6 MiB
2025-04-14 14:29:20,14.0 MiB
2025-04-14 14:29:30,14.0 MiB
2025-04-14 14:29:40,14.0 MiB
2025-04-14 14:29:50,14.6 MiB
2025-04-14 14:30:00,14.6 MiB
2025-04-14 14:30:10,14.6 MiB
2025-04-14 14:30:20,14.6 MiB
2025-04-14 14:30:30,14.6 MiB
2025-04-14 14:30:40,14.6 MiB
2025-04-14 14:30:50,14.6 MiB
2025-04-14 14:31:00,14.8 MiB
2025-04-14 14:31:10,14.8 MiB
2025-04-14 14:31:20,14.8 MiB
2025-04-14 14:31:30,14.8 MiB
2025-04-14 14:31:40,14.8 MiB
2025-04-14 14:31:50,14.8 MiB
2025-04-14 14:32:00,14.8 MiB
2025-04-14 14:32:10,14.7 MiB
2025-04-14 14:32:20,14.3 MiB
2025-04-14 14:32:30,14.3 MiB
2025-04-14 14:32:40,14.3 MiB
2025-04-14 14:32:50,14.3 MiB
2025-04-14 14:33:00,14.3 MiB
2025-04-14 14:33:10,14.3 MiB
2025-04-14 14:33:20,14.3 MiB
2025-04-14 14:33:30,14.3 MiB
2025-04-14 14:33:40,14.3 MiB
2025-04-14 14:33:50,14.3 MiB
2025-04-14 14:34:00,14.3 MiB
2025-04-14 14:34:10,14.3 MiB
2025-04-14 14:34:20,14.3 MiB
2025-04-14 14:34:30,11.7 MiB
2025-04-14 14:34:40,11.7 MiB
2025-04-14 14:34:50,14.1 MiB
2025-04-14 14:35:00,14.1 MiB
2025-04-14 14:35:10,14.8 MiB
2025-04-14 14:35:20,14.8 MiB
2025-04-14 14:35:30,14.8 MiB
2025-04-14 14:35:40,14.8 MiB
2025-04-14 14:35:50,14.8 MiB
2025-04-14 14:36:00,14.5 MiB
2025-04-14 14:36:10,14.5 MiB
2025-04-14 14:36:20,14.9 MiB
2025-04-14 14:36:30,14.9 MiB
2025-04-14 14:36:40,14.9 MiB
2025-04-14 14:36:50,14.9 MiB
2025-04-14 14:37:00,14.9 MiB
2025-04-14 14:37:10,14.9 MiB
2025-04-14 14:37:20,14.5 MiB
2025-04-14 14:37:30,14.5 MiB
2025-04-14 14:37:40,14.7 MiB
2025-04-14 14:37:50,14.7 MiB
2025-04-14 14:38:00,14.8 MiB
2025-04-14 14:38:10,14.8 MiB
2025-04-14 14:38:20,14.8 MiB
2025-04-14 14:38:30,15.0 MiB
2025-04-14 14:38:40,14.8 MiB
2025-04-14 14:38:50,14.8 MiB
2025-04-14 14:39:00,15.0 MiB
2025-04-14 14:39:10,15.0 MiB
2025-04-14 14:39:20,15.0 MiB
2025-04-14 14:39:30,15.0 MiB
2025-04-14 14:39:40,15.0 MiB
2025-04-14 14:39:50,14.5 MiB
2025-04-14 14:40:00,14.5 MiB
2025-04-14 14:40:10,15.0 MiB
2025-04-14 14:40:20,15.0 MiB
2025-04-14 14:40:30,14.4 MiB
2025-04-14 14:40:40,14.4 MiB
2025-04-14 14:40:50,14.4 MiB
2025-04-14 14:41:00,14.4 MiB
2025-04-14 14:41:10,14.4 MiB
2025-04-14 14:41:20,14.4 MiB
2025-04-14 14:41:30,14.4 MiB
2025-04-14 14:41:40,14.4 MiB
2025-04-14 14:41:50,14.4 MiB
2025-04-14 14:42:00,14.4 MiB
2025-04-14 14:42:10,14.4 MiB
2025-04-14 14:42:20,11.7 MiB
2025-04-14 14:42:30,11.7 MiB
2025-04-14 14:42:40,11.7 MiB
