Iteratie 4 - Start time: Mon Apr 14 12:34:58 UTC 2025
Iteratie 4 - Fase: Aanmaken - Mon Apr 14 12:34:58 UTC 2025
NAME                        CREATIONTIME
web-deployment-test10       2025-04-14T12:34:58Z
test1                       2025-04-14T12:34:58Z
mail-deployment-test11      2025-04-14T12:34:58Z
mail-deployment-test12      2025-04-14T12:34:58Z
mail-deployment-test13      2025-04-14T12:34:58Z
mail-deployment-test14      2025-04-14T12:34:58Z
sms-deployment-test1        2025-04-14T12:34:58Z
sms-deployment-test10       2025-04-14T12:34:58Z
sms-deployment-test11       2025-04-14T12:34:58Z
sms-deployment-test12       2025-04-14T12:34:58Z
sms-deployment-test13       2025-04-14T12:34:58Z
mail-service-test10         2025-04-14T12:34:58Z
mail-service-test11         2025-04-14T12:34:58Z
mail-service-test12         2025-04-14T12:34:58Z
mail-service-test13         2025-04-14T12:34:58Z
mail-service-test14         2025-04-14T12:34:58Z
mail-deployment-test1       2025-04-14T12:34:58Z
web-deployment-test14       2025-04-14T12:34:58Z
web-deployment-test13       2025-04-14T12:34:58Z
storage-deployment-test1    2025-04-14T12:34:58Z
mail-deployment-test10      2025-04-14T12:34:58Z
sms-deployment-test14       2025-04-14T12:34:58Z
web-deployment-test11       2025-04-14T12:34:58Z
storage-deployment-test13   2025-04-14T12:34:58Z
mail-service-test1          2025-04-14T12:34:58Z
web-deployment-test1        2025-04-14T12:34:58Z
test3                       2025-04-14T12:34:58Z
test21                      2025-04-14T12:34:58Z
test20                      2025-04-14T12:34:58Z
web-service-test10          2025-04-14T12:34:58Z
test19                      2025-04-14T12:34:58Z
test18                      2025-04-14T12:34:58Z
test17                      2025-04-14T12:34:58Z
test16                      2025-04-14T12:34:58Z
test15                      2025-04-14T12:34:58Z
test14                      2025-04-14T12:34:58Z
test13                      2025-04-14T12:34:58Z
test12                      2025-04-14T12:34:58Z
test11                      2025-04-14T12:34:58Z
test10                      2025-04-14T12:34:58Z
storage-deployment-test14   2025-04-14T12:34:58Z
test2                       2025-04-14T12:34:58Z
web-deployment-test12       2025-04-14T12:34:58Z
storage-deployment-test10   2025-04-14T12:34:58Z
storage-deployment-test11   2025-04-14T12:34:58Z
storage-deployment-test12   2025-04-14T12:34:58Z
